exp,embed,hidden,layers,dropout,batch,lr,teacher_forcing,epochs,BLEU,PPL
A1,256,256,1,0.2,32,0.001,0.5,1,0.05118085252302107,74.573167779575
A1,256,512,2,0.3,32,0.001,0.5,True,1,0.06338005477847171,58.48392383039244
A1,256,512,2,0.3,32,0.001,0.5,True,1,0.06338005477847171,58.48392383039244
A1,256,512,2,0.3,32,0.001,0.5,True,1,0.06338005477847171,58.48392383039244
A1,256,512,2,0.3,32,0.001,0.5,False,1,0.038873581851548496,77.38617998120836
A1,256,512,2,0.3,32,0.001,0.5,True,1,0.007876301963440083,6806.1308616068945,True
A1,256,512,2,0.3,32,0.001,0.5,True,1,0.06338005477847171,58.48392383039244
